kind,size,size_kb,root,depth,path,nested_under,rollup_parent
cache-like,16.4 MiB,16776,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.apple.parsecd,,false
support/container,15.4 MiB,15800,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Code - Insiders/WebStorage,/Users/yaniv/Library/Application Support/Code - Insiders,false
cache-like,15.1 MiB,15504,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.apple.helpd/fsCachedData,/Users/yaniv/Library/Caches/com.apple.helpd,false
cache-like,14.5 MiB,14872,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/Homebrew/bootsnap,/Users/yaniv/Library/Caches/Homebrew,false
support/container,14.5 MiB,14868,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Microsoft Edge/Edge Wallet,/Users/yaniv/Library/Application Support/Microsoft Edge,false
support/container,13.6 MiB,13880,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/rancher-desktop/electron,/Users/yaniv/Library/Application Support/rancher-desktop,false
support/container,13.0 MiB,13268,/Users/yaniv/Library/Group Containers,1,/Users/yaniv/Library/Group Containers/group.com.apple.CoreSpeech,,false
cache-like,12.8 MiB,13116,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.openai.atlas/browser-data,/Users/yaniv/Library/Caches/com.openai.atlas,false
cache-like,12.2 MiB,12508,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Microsoft Edge/GraphiteDawnCache,/Users/yaniv/Library/Application Support/Microsoft Edge,false
cache-like,12.2 MiB,12480,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.apple.TV,,false
support/container,12.0 MiB,12336,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.oraclecorp.int.UnifiedLogin,,false
cache-like,11.6 MiB,11884,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.apple.helpd/NSFileProtectionCompleteUntilFirstUserAuthentication,/Users/yaniv/Library/Caches/com.apple.helpd,false
cache-like,11.4 MiB,11708,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Code - Insiders/CachedData,/Users/yaniv/Library/Application Support/Code - Insiders,false
cache-like,10.6 MiB,10840,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.apple.CloudTelemetry/XPCService,/Users/yaniv/Library/Caches/com.apple.CloudTelemetry,false
cache-like,10.2 MiB,10492,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.apple.appstoreagent,,false
cache-like,9.7 MiB,9972,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/SharedImageCache,,false
cache-like,9.3 MiB,9568,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.vmware.hub.mac,,false
support/container,9.2 MiB,9468,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.stocks.widget,,false
cache-like,9.2 MiB,9408,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Slack/logs,/Users/yaniv/Library/Application Support/Slack,false
cache-like,9.0 MiB,9252,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/us.zoom.xos/WebKit,/Users/yaniv/Library/Caches/us.zoom.xos,false
cache-like,8.2 MiB,8428,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/icloudmailagent,,false
support/container,8.0 MiB,8192,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Microsoft Edge/BrowserMetrics,/Users/yaniv/Library/Application Support/Microsoft Edge,false
cache-like,7.6 MiB,7772,/Users/yaniv/Library/Logs,2,/Users/yaniv/Library/Logs/OneDrive/ListSync,/Users/yaniv/Library/Logs/OneDrive,false
support/container,7.6 MiB,7732,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Comet/OnDeviceHeadSuggestModel,/Users/yaniv/Library/Application Support/Comet,false
