app,bundle_id,kind,size,size_kb,reason,path,also_matched_by
Cursor,com.todesktop.230313mzl4w4u92,cache-like-inside-support,5.6 MiB,5704,cache-like descendant,/Users/yaniv/Library/Application Support/Cursor/GPUCache,
Google Chrome Canary,com.google.Chrome.canary,cache-like-inside-support,5.6 MiB,5704,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome Canary/GrShaderCache,
Microsoft Edge,com.microsoft.edgemac,cache-like-inside-support,5.6 MiB,5704,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft Edge/Default/GPUCache,
Slack,com.tinyspeck.slackmacgap,cache-like-inside-support,5.6 MiB,5704,cache-like descendant,/Users/yaniv/Library/Application Support/Slack/GPUCache,
Rancher Desktop,io.rancherdesktop.app,cache-like-inside-support,4.4 MiB,4556,cache-like descendant,/Users/yaniv/Library/Application Support/rancher-desktop/electron/Code Cache,
Rancher Desktop,io.rancherdesktop.app,cache-like-inside-support,4.4 MiB,4556,cache-like descendant,/Users/yaniv/Library/Application Support/Rancher-Desktop/electron/Code Cache,
Arc,company.thebrowser.Browser,cache-like-inside-support,4.2 MiB,4320,cache-like descendant,/Users/yaniv/Library/Application Support/Arc/User Data/extensions_crx_cache,
ChatGPT,com.openai.chat,support/container,4.2 MiB,4320,bundle-id support,/Users/yaniv/Library/Application Support/com.openai.chat,
ChatGPT,com.openai.chat,cache-like,4.1 MiB,4148,bundle-id http storage,/Users/yaniv/Library/HTTPStorages/com.openai.chat,
Google Chrome,com.google.Chrome,cache-like-inside-support,3.8 MiB,3864,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Crashpad,
Microsoft Edge,com.microsoft.edgemac,cache-like,3.1 MiB,3160,bundle-id cache,/Users/yaniv/Library/Caches/com.microsoft.edgemac,
Dia,company.thebrowser.dia,cache-like-inside-support,3.0 MiB,3044,cache-like descendant,/Users/yaniv/Library/Application Support/Dia/User Data/GrShaderCache,
Cursor,com.todesktop.230313mzl4w4u92,cache-like-inside-support,2.8 MiB,2900,cache-like descendant,/Users/yaniv/Library/Application Support/Cursor/logs,
Sonos,com.sonos.macController2,cache-like,2.8 MiB,2824,safe fuzzy exact/segment match,/Users/yaniv/Library/Logs/Sonos,
Windows App,com.microsoft.rdc.macos,support/container,2.7 MiB,2720,bundle-id container,/Users/yaniv/Library/Containers/com.microsoft.rdc.macos,
Slack,com.tinyspeck.slackmacgap,support/container,2.4 MiB,2476,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/Slack,
Opera,com.operasoftware.Opera,cache-like-inside-support,2.4 MiB,2472,cache-like descendant,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/GrShaderCache,
Cursor,com.todesktop.230313mzl4w4u92,support/container,2.3 MiB,2392,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/Cursor,
zoom.us,us.zoom.xos,cache-like,2.3 MiB,2328,safe fuzzy exact/segment match,/Users/yaniv/Library/Logs/zoom.us,
Code - Insiders,com.microsoft.VSCodeInsiders,cache-like,2.2 MiB,2212,bundle-id cache,/Users/yaniv/Library/Caches/com.microsoft.VSCodeInsiders,
Code,com.microsoft.VSCode,cache-like,2.1 MiB,2132,bundle-id cache,/Users/yaniv/Library/Caches/com.microsoft.VSCode,
iTerm2,com.googlecode.iterm2,cache-like,2.0 MiB,2088,bundle-id http storage,/Users/yaniv/Library/HTTPStorages/com.googlecode.iterm2,
Oracle Documents,hubdocuments.oracle.webcenter.app,support/container,2.0 MiB,2024,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/Oracle/Oracle Documents,
